gene,LUSC_vs_LUAD
SLC1A7,0.21356697033520744
CXCL6,0.16197155004149916
SPRR2G,0.3018211054974311
PCDH19,0.2525349775339913
DBC1,0.05662433272984485
IL1F7,0.2176543301304113
ITLN2,0.008027071925975876
SLC1A6,0.2536717787241259
MKRN3,0.20585373308327093
EPHA7,0.18701510426895454
HMGCS2,0.12070525910354926
CNTN1,0.17514110523553916
C3orf57,0.15298084829616693
NR0B2,0.19207852530414404
KRT1,0.2672313823590239
HEPHL1,0.24828459110493492
GAL,0.1418402425871669
GPM6A,0.07817574588281989
SLC26A9,0.22924217260792096
ZNHIT2,0.0914023296107428
CSF3,0.024096538837519665
RNASE7,0.2954349466030799
KLK13,0.13394453807462525
SMOC1,0.047316091826298645
CES1,0.02297944484753711
C6orf176,0.14666757921359147
SLC5A8,0.10463227182896814
GJB2,0.20215134498255088
TNNC1,0.2078812765624789
CXCL14,0.07192776231678921
CCNA1,0.22402216052666413
C4BPB,0.338667330029078
DDC,0.09078847782588598
C1orf173,0.04779529750829331
IYD,0.281431710566558
RIMS2,0.2576789296224338
FGF19,0.054217688712651355
MRAP2,0.29551659516415024
GAGE4,0.05323399334342077
DACT2,0.02712273791679165
FEZF1,0.00835265783533079
DEFB1,0.14575960227709084
C8B,0.15965889089452218
COL2A1,0.04511044677443629
TPRXL,0.4004875572806408
HTR3A,0.18008327541595182
GPR110,0.1102317200681357
AMBP,0.17967278366339795
DQX1,0.3635592388066554
SHISA3,0.14480161402626504
C12orf36,0.13407311614467723
FOXL2,0.2795402772167563
SLC6A3,0.19378202368811936
GAGE2D,0.0784285077129688
DNAH9,0.0191498441733019
HPN,0.2718682264110534
ADCY8,0.09315775975173006
HR,0.2995804246197325
H19,0.045355239678664394
SLC5A1,0.0707739976897353
LYPD3,0.25228780747101065
SNTN,0.14054938227120994
C7,0.11534281366310933
CLEC2L,0.18176943367575885
NCCRP1,0.18655900770142247
CDHR1,0.36722734516862754
HOXD10,0.2647422528940169
CPA4,0.27296850036383236
NKX2-5,0.26096799499325285
RORC,0.30144707532925064
HTR2C,0.20293085911742714
GTSF1,0.004432323051170195
IL20RB,0.21279282314312448
MAGEC1,0.02394501672788038
ARSE,0.2631492403131893
SNX31,0.2583619779317224
CAPN9,0.1771636332579991
SERPINB11,0.19385162646648477
POPDC3,0.1766143109405025
C4orf31,0.22632551598326006
CDHR4,0.10353226390849121
ABCC2,0.042608050160784394
VSNL1,0.32490217138601335
GNG4,0.14854603262255317
C19orf59,0.10314558666363088
HBB,0.05953535904087087
TMEM190,0.07501568601749606
GPR115,0.1812589434442023
SEMA3E,0.1485912612312954
KRT7,0.23141339488591595
SALL1,0.22119822847622794
FBN3,0.0658191380997345
PRSS3,0.04747824995012673
C6,0.1230399125563536
TMEM59L,0.18410634348808164
LOC339535,0.13492284938829835
FZD10,0.15805360302725652
CT45A5,0.1336671630442693
TF,0.03524324136320195
ATP13A4,0.0911095156244478
ENPP3,0.2040595940733201
GFRA3,0.14303716883083228
