gene,LUSC_vs_LUAD
C12orf36,0.1062198426194125
FOXL2,0.2846639816828357
SLC6A3,0.14777618691893282
GAGE2D,0.08600131138644235
DNAH9,0.018550213120115844
HPN,0.22139077655113404
ADCY8,0.11133974389249246
HR,0.27351882249554527
H19,0.03698388915434736
SLC5A1,0.025263823001911878
LYPD3,0.24008839613190763
SNTN,0.11687024787121802
C7,0.08232676122189697
CLEC2L,0.2573762154970484
NCCRP1,0.12805157259668282
CDHR1,0.3088942950355104
HOXD10,0.2674871602982005
CPA4,0.24177248298632079
NKX2-5,0.2641027464879576
RORC,0.2988677048719226
HTR2C,0.2603358233005884
GTSF1,0.06944631121968892
IL20RB,0.19932452546984042
MAGEC1,0.03843951647718566
ARSE,0.25139617995838487
SNX31,0.2954424643441049
CAPN9,0.19121145348953228
SERPINB11,0.20937929773008473
POPDC3,0.17958370125545536
C4orf31,0.19968891788303633
CDHR4,0.09412767483970308
ABCC2,0.0008252894415688439
VSNL1,0.3265436563220275
GNG4,0.11421716787872177
C19orf59,0.09485393281622406
HBB,0.054981386544174005
TMEM190,0.05169615283021742
GPR115,0.13682815500952883
SEMA3E,0.1537087855388421
KRT7,0.21164957672527096
SALL1,0.09438149958582923
FBN3,0.03920793541669748
PRSS3,0.0498123348003669
C6,0.12794916127451866
TMEM59L,0.1550828668267487
LOC339535,0.0974152279947641
FZD10,0.2111157373366891
CT45A5,0.14959064701556252
TF,0.012776020620925088
ATP13A4,0.11669059718074437
ENPP3,0.21311937312517804
GFRA3,0.08960119411383227
